id,group_name,group_email,group_location,activity_title,activity_description,open_slots,activity_date,user_id
1,Clovis.Klein69,Leonor.Heathcote@gmail.com,90987-1384,ipsa,Quia nesciunt et voluptatem voluptas alias qui iure asperiores.,2,Fri Aug 06 2021 16:10:08 GMT-0700 (Mountain Standard Time),63
2,Eden_Waelchi24,Magnus.Cremin8@hotmail.com,10272,molestiae,Enim nihil quae et placeat quia quos voluptatum iusto sapiente.,2,Tue Aug 10 2021 21:41:30 GMT-0700 (Mountain Standard Time),96
3,Lawrence_Borer55,Fred.Effertz64@hotmail.com,97141-2601,aspernatur,Sit cumque harum id est excepturi velit totam.,3,Sat Aug 07 2021 10:12:34 GMT-0700 (Mountain Standard Time),53
4,Joel.Dicki,Emory_Considine@hotmail.com,35640-3589,qui,Sit et non facere.,2,Sun Aug 01 2021 15:16:15 GMT-0700 (Mountain Standard Time),53
5,Gabe.Davis20,Tyrel.Willms8@gmail.com,57564-6013,et,Atque totam possimus ea praesentium similique.,2,Wed Aug 04 2021 01:11:20 GMT-0700 (Mountain Standard Time),28
6,Ena_Dicki,Jermain_Feil94@gmail.com,81577,tempora,Delectus fugiat in rerum veritatis et similique quod architecto.,4,Mon Aug 02 2021 05:12:38 GMT-0700 (Mountain Standard Time),20
7,Myrtice69,Dayton_Jast@yahoo.com,74838,unde,Velit quam rerum explicabo.,2,Thu Aug 05 2021 19:17:47 GMT-0700 (Mountain Standard Time),90
8,Wade50,Gia.Stehr@hotmail.com,29652,qui,Molestiae non amet natus facilis minima incidunt culpa.,2,Sun Jul 11 2021 02:28:41 GMT-0700 (Mountain Standard Time),98
9,Tressa.Paucek,Braeden13@hotmail.com,87922-4110,consequuntur,Aut reprehenderit eius et possimus sit.,4,Sun Jul 11 2021 20:23:30 GMT-0700 (Mountain Standard Time),8
10,Jacquelyn68,Solon.Daniel53@yahoo.com,44905,vero,Quasi facilis deserunt et ratione.,2,Mon Jun 07 2021 05:01:16 GMT-0700 (Mountain Standard Time),45
11,Carlos75,Kaycee35@yahoo.com,07751-9629,qui,Quia repudiandae ut nobis eveniet repellat sit aut odio.,4,Sun Jul 11 2021 16:38:38 GMT-0700 (Mountain Standard Time),78
12,Margarett_Cronin,Rodolfo28@yahoo.com,54622-4785,enim,Ea et natus quibusdam at consequatur provident.,4,Thu Jun 17 2021 15:29:12 GMT-0700 (Mountain Standard Time),26
13,Brionna_Feil21,Cristobal_Lind7@yahoo.com,37400-7386,id,Quaerat ullam enim aut voluptas consequatur voluptatibus repellat voluptate.,4,Sun Jun 27 2021 01:46:53 GMT-0700 (Mountain Standard Time),67
14,Vaughn.Jast12,Amparo_Tillman@hotmail.com,66690-1122,quo,Dolorem autem earum dignissimos est voluptatem esse.,2,Tue Jun 08 2021 14:27:02 GMT-0700 (Mountain Standard Time),34
15,Benjamin_Harris74,Marcos90@gmail.com,17708-3510,ducimus,Ut et et sint deserunt quisquam sit porro.,4,Tue Jun 29 2021 23:11:26 GMT-0700 (Mountain Standard Time),61
16,Carmela.Goldner32,Charley76@hotmail.com,10486-4927,aut,Assumenda sapiente est.,2,Sun Jun 13 2021 20:24:35 GMT-0700 (Mountain Standard Time),7
17,Heber65,Jadon.Bashirian@gmail.com,23077-1280,assumenda,Voluptatem neque nihil consequatur vitae repellat in nihil beatae.,3,Sun Jun 27 2021 22:45:30 GMT-0700 (Mountain Standard Time),96
18,Eladio59,Braeden_Ankunding@yahoo.com,22283-2959,nihil,Quasi natus corrupti vero rerum.,4,Fri Jul 30 2021 00:43:12 GMT-0700 (Mountain Standard Time),50
19,Abbie37,Lydia2@hotmail.com,15402,facere,Est aliquam perspiciatis illo et sequi omnis.,4,Mon May 31 2021 21:57:21 GMT-0700 (Mountain Standard Time),42
20,Melyna.Mitchell,Minerva44@gmail.com,43224-4428,mollitia,Aliquid nostrum quibusdam veritatis laborum maiores reprehenderit dolorum quia consequatur.,3,Wed Jun 09 2021 15:59:21 GMT-0700 (Mountain Standard Time),76
21,Drake_Balistreri,Jayde.Stamm12@gmail.com,12045,vero,Libero neque aperiam.,3,Sun Jul 11 2021 16:11:14 GMT-0700 (Mountain Standard Time),77
22,Robbie.Ryan56,Jaycee83@gmail.com,19191-4234,aperiam,Et nihil veritatis tenetur velit et.,3,Sat Jun 05 2021 21:04:08 GMT-0700 (Mountain Standard Time),93
23,Alverta44,Levi_Zemlak31@yahoo.com,47114,eligendi,Omnis nemo non enim quo quod ipsum aperiam fuga.,2,Thu Aug 12 2021 04:18:44 GMT-0700 (Mountain Standard Time),72
24,Earnestine.Little,Jettie88@gmail.com,28944,et,Laboriosam rem dignissimos dignissimos et.,2,Tue Jul 27 2021 21:05:39 GMT-0700 (Mountain Standard Time),73
25,Mariane32,Delphine.Fritsch@hotmail.com,36589-6650,odit,Velit quidem ex adipisci voluptas quia.,4,Tue Aug 10 2021 17:21:03 GMT-0700 (Mountain Standard Time),31
26,Raegan_Buckridge,Perry5@gmail.com,82440,aliquam,Et et quia ipsam.,4,Fri Jul 02 2021 14:29:48 GMT-0700 (Mountain Standard Time),77
27,Elfrieda.Schinner,Meta.Towne8@hotmail.com,23941-4032,qui,Est minus hic.,4,Sun Jul 11 2021 22:56:34 GMT-0700 (Mountain Standard Time),58
28,Harvey27,Aleen62@yahoo.com,04908,ut,Libero delectus sed non.,2,Fri Jul 09 2021 00:33:43 GMT-0700 (Mountain Standard Time),72
29,Aletha31,Shanon.Hilll64@yahoo.com,06689-4620,neque,Totam velit sint laudantium sunt qui.,2,Tue Jun 08 2021 18:00:16 GMT-0700 (Mountain Standard Time),54
30,Marian.Littel13,Diana_Jenkins21@hotmail.com,36155,incidunt,Eos repellendus consequatur voluptas ad.,3,Tue Jun 15 2021 06:49:16 GMT-0700 (Mountain Standard Time),26
31,Irwin.Ondricka,Buford_Frami61@yahoo.com,24693-8731,aut,Qui laborum officia est id eos aperiam quibusdam.,3,Mon Jun 07 2021 03:41:07 GMT-0700 (Mountain Standard Time),70
32,Estrella.Dickens28,Rahsaan_Friesen@gmail.com,20827,voluptate,Ut qui voluptatem sed commodi aspernatur.,2,Fri Aug 13 2021 00:44:59 GMT-0700 (Mountain Standard Time),73
33,Columbus6,Arielle73@yahoo.com,52212-2016,qui,Dolorem omnis omnis quia quaerat eveniet quia vitae.,3,Tue Jun 29 2021 23:51:48 GMT-0700 (Mountain Standard Time),52
34,Christopher_King,Carlos_Oberbrunner@gmail.com,15983-7592,illo,Tenetur dolorem non.,2,Fri Jul 16 2021 10:43:42 GMT-0700 (Mountain Standard Time),39
35,Freeda37,Jodie83@hotmail.com,38692-1928,aperiam,Expedita aspernatur at odit omnis.,2,Fri Jun 25 2021 00:51:38 GMT-0700 (Mountain Standard Time),38
36,Samanta_Kiehn,Ray_Ebert@gmail.com,63099-0704,quis,Neque rerum officia pariatur adipisci qui et quis debitis sed.,2,Sat Jun 19 2021 02:08:11 GMT-0700 (Mountain Standard Time),12
37,Dean_Ferry,Kameron.Jacobson65@hotmail.com,30352,saepe,Aut et reprehenderit quaerat voluptatem culpa.,3,Sun Jul 11 2021 21:12:37 GMT-0700 (Mountain Standard Time),98
38,Margot_Morar,Charity.Schaefer17@yahoo.com,01316-0646,et,Nihil eum illo est.,4,Wed Jul 07 2021 11:11:36 GMT-0700 (Mountain Standard Time),64
39,Isadore.Carroll,Fanny_Hessel33@yahoo.com,68339,nesciunt,Voluptatem consectetur qui suscipit quo.,3,Thu Jun 03 2021 14:36:21 GMT-0700 (Mountain Standard Time),75
40,Imelda.Orn52,Camden91@yahoo.com,29367,voluptas,Dolor consequatur corporis.,2,Sat Jun 26 2021 14:51:11 GMT-0700 (Mountain Standard Time),61
41,Anais.Bode,Garrison_Durgan59@gmail.com,77749,quia,Non excepturi laborum doloremque iure sit aut mollitia veniam necessitatibus.,3,Sat Jul 31 2021 16:32:43 GMT-0700 (Mountain Standard Time),87
42,Annabel22,Brain99@yahoo.com,19016-5028,est,Suscipit voluptatem aut vel voluptas placeat molestiae minus.,2,Fri Jul 30 2021 16:45:55 GMT-0700 (Mountain Standard Time),43
43,Alexis_Marks71,Alyce_Barrows45@hotmail.com,93521-8184,non,Nulla dolorem cumque enim hic.,4,Thu Jul 01 2021 14:09:24 GMT-0700 (Mountain Standard Time),21
44,Estel.Schaden90,Agnes95@gmail.com,81785-0953,ratione,Excepturi et reprehenderit esse a omnis recusandae voluptas ut fugiat.,2,Sun Jun 06 2021 17:17:50 GMT-0700 (Mountain Standard Time),38
45,Annabell_Rutherford89,Glenna_Bosco78@yahoo.com,96203,dolores,Ducimus aliquam voluptas nulla maxime est aut sed voluptatem.,3,Thu Aug 12 2021 11:54:34 GMT-0700 (Mountain Standard Time),91
46,Brian.OKon86,Kody_West@hotmail.com,35431-3229,aliquid,In nulla quaerat nobis vel omnis rerum in.,3,Tue Aug 03 2021 02:44:37 GMT-0700 (Mountain Standard Time),76
47,Lucinda67,Carter_Grimes13@gmail.com,34898-2604,ut,Fugit unde molestiae impedit nesciunt qui.,2,Mon Jul 05 2021 19:27:36 GMT-0700 (Mountain Standard Time),17
48,Amalia.Gutkowski,Daphnee.VonRueden59@hotmail.com,37141-3005,cupiditate,Quisquam ut error.,3,Thu Jun 24 2021 09:02:25 GMT-0700 (Mountain Standard Time),46
49,Cloyd88,Providenci_Gerhold@gmail.com,36266,quia,Accusamus cupiditate dolor qui et nemo voluptates reprehenderit nihil.,4,Fri Jun 25 2021 09:39:49 GMT-0700 (Mountain Standard Time),99
